Player;Pos;Squad;Min
Angelo da Costa Júnior;GK;Bologna;540
Danny da Costa;FB;Mainz 05;1208
Danny da Costa;FB;Eintracht Frankfurt;110
David Pereira da Costa;AM;Lens;158
Diego Costa;FW;Atlético Madrid;208
Douglas Costa;W;Juventus;42
Douglas Costa;W;Bayern Munich;320
Hélder Costa;W;Leeds United;1156
Jaume Costa;FB;Villarreal;351
Charles Costes;W;Dijon;2
Benoît Costil;GK;Bordeaux;3420
Vladimír Coufal;FB;West Ham;3054
Kalifa Coulibaly;FW;Nantes;981
Lassana Coulibaly;CM;Angers;1687
Mamadou Coulibaly;CM;Udinese;184
Senou Coulibaly;CB;Dijon;1934
Tanguy Coulibaly;W;Stuttgart;1506
Thibaut Courtois;GK;Real Madrid;3420
Philippe Coutinho;AM;Barcelona;654
Nicolas Cozza;CB;Montpellier;1369
Alessio Cragno;GK;Cagliari;3060
Gian Crespi;GK;Crotone;90
Aaron Cresswell;FB;West Ham;3170
Domenico Criscito;FB;Genoa;1726
Bryan Cristante;CM;Roma;2155
Giovanni Crociata;CM;Crotone;26
Juan Cruz Armada;FB;Osasuna;1962
Juan Cuadrado;FB;Juventus;2175
Adrián Cubas;CM;Nîmes;2242
Sergio Cubero Ezcurra;FB;Eibar;1
Cucho;FW;Getafe;1466
Marc Cucurella;W;Getafe;3244
Mickaël Cuisance;CM;Marseille;1024
Mickaël Cuisance;CM;Bayern Munich;18
Matheus Cunha;FW;Hertha BSC;2149
Giuseppe Cuomo;CB;Crotone;801
Patrick Cutrone;FW;Wolves;25
Patrick Cutrone;FW;Fiorentina;196
Patrick Cutrone;FW;Valencia;108
Wylan Cyprien;CM;Parma;410
Rafael Czichos;CB;Köln;2259
Lennart-Marten Czyborra;W;Genoa;1173
Danilo D'Ambrosio;FB;Inter;699
Damien Da Silva;CB;Rennes;2661
Bryan Dabo;CM;Benevento;1117
Moanes Dabour;FW;Hoffenheim;999
Colin Dagba;FB;Paris Saint-Germain;1357
Finn Dahmen;GK;Mainz 05;270
Mahmoud Dahoud;CM;Dortmund;1258
Leon Dajaku;AM;Union Berlin;37
Stuart Dallas;FB;Leeds United;3409
Diogo Dalot;FB;Milan;1090
Mikkel Damsgaard;W;Sampdoria;1773
Flavius Daniliuc;CB;Nice;1477
Danilo;CB;Juventus;2916
Scott Dann;CB;Crystal Palace;1350
Tiago Dantas;CM;Bayern Munich;69
Dante;CB;Nice;774
Andrea Danzi;CM;Hellas Verona;104
Ebrima Darboe;CM;Roma;323
Márton Dárdai;CB;Hertha BSC;821
Vladimír Darida;CM;Hertha BSC;1903
Karl Darlow;GK;Newcastle Utd;2250
Matteo Darmian;FB;Inter;1160
Matteo Darmian;FB;Parma;208
Jonathan David;FW;Lille;2354
Alphonso Davies;FB;Bayern Munich;1763
Ben Davies;FB;Tottenham;1346
Tom Davies;CM;Everton;1423
Keinan Davis;FW;Aston Villa;277
Leif Davis;FB;Leeds United;33
Paweł Dawidowicz;CB;Hellas Verona;1860
Craig Dawson;CB;West Ham;1925
Kevin De Bruyne;AM;Manchester City;1997
Sebastien De Maio;CB;Udinese;853
Rodrigo De Paul;CM;Udinese;3201
Mattia De Sciglio;FB;Juventus;24
Mattia De Sciglio;FB;Lyon;1467
Lorenzo De Silvestri;FB;Bologna;2143
Thibault De Smet;FB;Reims;496
Lucas Deaux;CM;Nîmes;1754
Mathieu Debuchy;FB;Saint-Étienne;2103
Grégoire Defrel;FW;Sassuolo;1337
Alessandro Deiola;CM;Spezia;360
Alessandro Deiola;CM;Cagliari;615
Romain Del Castillo;W;Rennes;652
Lorenzo Del Pinto;CM;Benevento;11
Thomas Delaine;FB;Metz;1779
Thomas Delaney;CM;Dortmund;1286
Liam Delap;FW;Manchester City;40
Jonathan Delaplace;CM;Lorient;906
Sacha Delaye;CM;Montpellier;7
Cristian Dell'Orco;FB;Spezia;262
Andy Delort;FW;Montpellier;2482
Fabian Delph;CM;Everton;266
Moussa Dembélé;FW;Atlético Madrid;100
Moussa Dembélé;FW;Lyon;677
Ousmane Dembélé;W;Barcelona;1774
Merih Demiral;CB;Juventus;940
Kerem Demirbay;CM;Leverkusen;1744
Ermedin Demirović;FW;Freiburg;1498
Diego Demme;CM;Napoli;1590
Jason Denayer;CB;Lyon;2614
Leander Dendoncker;CM;Wolves;2503
Kevin Denkey;FW;Nîmes;524
Emmanuel Dennis;FW;Köln;474
Stefano Denswil;CB;Bologna;115
Fabio Depaoli;FB;Benevento;1120
Fabio Depaoli;FB;Sampdoria;77
Fabio Depaoli;FB;Atalanta;191
Memphis Depay;FW;Lyon;2923
Clément Depres;FW;Nîmes;14
Mike van der Hoorn;CB;Arminia;1356
Kastriot Dermaku;CB;Parma;100
Kiril Despodov;W;Cagliari;11
Sergiño Dest;FB;Barcelona;1886
Mattia Destro;FW;Genoa;1606
Gerard Deulofeu;W;Udinese;598
Deyverson;FW;Alavés;874
Jacopo Dezi;CM;Parma;79
Samuel Di Carmine;FW;Hellas Verona;500
Samuel Di Carmine;FW;Crotone;475
Giovanni Di Lorenzo;FB;Napoli;3240
Ángel Di María;W;Paris Saint-Germain;1853
Alessandro Di Pardo;W;Juventus;14
Giuseppe Di Serio;FW;Benevento;292
Boulaye Dia;FW;Reims;2930
Abdoulay Diaby;W;Getafe;18
Moussa Diaby;W;Leverkusen;2388
Mbaye Diagne;FW;West Brom;1189
Mouctar Diakhaby;CB;Valencia;2079
Abdou Diallo;CB;Paris Saint-Germain;1490
Amad Diallo;W;Manchester Utd;166
Amad Diallo;W;Atalanta;14
Habib Diallo;FW;Strasbourg;2322
Habib Diallo;FW;Metz;143
Ibrahima Diallo;CM;Southampton;1020
Ibrahima Diallo;CM;Brest;440
Amadou Diambo;CM;Benevento;3
Grady Diangana;W;West Brom;1235
Stéphane Diarra;W;Lorient;197
Raphael Dias Belloli;W;Leeds United;2360
Raphael Dias Belloli;W;Rennes;404
Rúben Dias;CB;Manchester City;2843
Krepin Diatta;W;Monaco;389
Amadou Diawara;CM;Roma;658
Brahim Díaz;AM;Milan;1228
Víctor Díaz;FB;Granada;828
Daniel Didavi;AM;Stuttgart;970
Eric Dier;CB;Tottenham;2520
Daan Dierckx;CB;Parma;471
Lucas Digne;FB;Everton;2681
Virgil van Dijk;CB;Liverpool;370
Mitchell Dijks;FB;Bologna;1481
Javairô Dilrosun;W;Hertha BSC;529
Federico Dimarco;FB;Hellas Verona;2613
Tristan Dingomé;CM;Reims;15
Eren Dinkçi;FW;Werder Bremen;108
Sinaly Diomande;CB;Lyon;1133
Lois Diony;FW;Angers;1749
Issa Diop;CB;West Ham;1381
Papakouli Diop;CM;Eibar;2324
Sofiane Diop;AM;Monaco;2023
Andy Diouf;W;Rennes;12
Yehvann Diouf;GK;Reims;135
Assane Dioussé;CM;Saint-Étienne;1
Axel Disasi;CB;Monaco;2011
Tiago Djaló;CB;Lille;873
Djené;CB;Getafe;2941
Moussa Djenepo;W;Southampton;1240
Koffi Djidji;CB;Crotone;1524
Alexander Djiku;CB;Strasbourg;2552
Berat Djimsiti;CB;Atalanta;2625
Marko Dmitrović;GK;Eibar;3120
Ritsu Doan;W;Arminia;2768
Mihai Dobre;W;Dijon;529
Matt Doherty;FB;Tottenham;1240
Jeremy Doku;W;Rennes;2313
Kasper Dolberg;FW;Nice;1928
Keagan Dolly;W;Montpellier;452
Jaume Doménech;GK;Valencia;2520
Carlos Dominguez;CB;Celta Vigo;360
Nicolás Domínguez;CM;Bologna;1255
John Donald;CM;Elche;50
Ji Dong-won;FW;Mainz 05;62
Anastasios Donis;FW;Reims;97
Gianluigi Donnarumma;GK;Milan;3330
Gabriel Dos Santos;CB;Arsenal;1996
Bas Dost;FW;Eintracht Frankfurt;817
Lucas Douath;CM;Saint-Étienne;1327
Abdoulaye Doucouré;CM;Everton;2443
Cheick Doucouré;CM;Lens;2627
Fodé Doucouré;FB;Reims;333
Mahamadou Doucouré;W;Nîmes;45
Cheick Doukouré;CM;Levante;101
Idrissa Doumbia;CM;Huesca;779
Moussa Doumbia;W;Reims;899
Souleyman Doumbia;FB;Angers;2222
Aleksandar Dragović;CB;Leverkusen;1136
Bartłomiej Drągowski;GK;Fiorentina;3148
Denis Drăguș;FW;Crotone;177
Radu Drăgușin;CB;Juventus;1
Mouhamadou Drammeh;CM;Reims;173
Julian Draxler;AM;Paris Saint-Germain;1064
Dominick Drexler;AM;Köln;1233
Matthieu Dreyer;GK;Lorient;1350
Domingos Duarte;CB;Granada;2363
Léo Duarte;CB;Milan;19
Óscar Duarte;CB;Levante;2060
Rubén Duarte;FB;Alavés;2545
Leo Dubois;FB;Lyon;2903
Martin Dúbravka;GK;Newcastle Utd;1170
Ondrej Duda;AM;Köln;2537
Unai Dufur;CB;Eibar;62
Haris Duljević;W;Nîmes;773
Paul Dummett;FB;Newcastle Utd;1255
Alfred Duncan;CM;Fiorentina;162
Alfred Duncan;CM;Cagliari;1068
Lewis Dunk;CB;Brighton;2931
Jimmy Dunne;CB;Burnley;270
Erik Durm;FB;Eintracht Frankfurt;1480
Hugo Duro;FW;Real Madrid;55
Jean-Kevin Duverne;CB;Brest;2029
Paulo Dybala;AM;Juventus;1132
Edin Džeko;FW;Roma;1824
Eric Junior Dina Ebimbe;W;Dijon;2144
Steeve-Mike Ebongue;CM;Genoa;52
Enzo Ebosse;FB;Angers;260
Bruno Ecuele Manga;CB;Dijon;3420
Simone Edera;W;Torino;52
Ederson;GK;Manchester City;3240
Kyle Edwards;W;West Brom;118
John Egan;CB;Sheffield Utd;2629
Johannes Eggestein;FW;Werder Bremen;33
Maximilian Eggestein;CM;Werder Bremen;2942
Lilian Egloff;AM;Stuttgart;16
Kingsley Ehizibue;FB;Köln;1133
Albin Ekdal;CM;Sampdoria;2299
Hugo Ekitike;W;Reims;88
Anthony Elanga;W;Manchester Utd;155
Niclas Eliasson;W;Nîmes;1799
Elif Elmas;AM;Napoli;740
Ahmed Elmohamady;FB;Aston Villa;839
Mohamed Elneny;CM;Arsenal;1544
Aritz Elustondo;CB;Real Sociedad;1884
Nico Elvedi;CB;Mönchengladbach;2536
Rodrigo Ely;CB;Alavés;468
Sepe Elye Wahi;FW;Montpellier;555
Breel Embolo;FW;Mönchengladbach;1440
Emerson;FB;Betis;2991
Manu Emmanuel Gyabuaa;CM;Atalanta;2
Renaud Emond;FW;Nantes;354
Alan Empereur;CB;Hellas Verona;219
Youssef En-Nesyri;FW;Sevilla;2311
Keita Endo;W;Union Berlin;456
Wataru Endo;CM;Stuttgart;2955
Sergi Enrich;FW;Eibar;1404
Christian Eriksen;AM;Inter;1385
Martin Erlic;CB;Spezia;1798
Patrick Erras;CM;Werder Bremen;26
Gonzalo Escalante;CM;Lazio;733
Aarón Escandell;GK;Granada;450
Dani Escriche;FW;Huesca;857
Sergio Escudero;FB;Sevilla;565
Alfonso Espino;FB;Cádiz;2601
Vicente Esquerdo;AM;Valencia;231
Nahuel Estévez;CM;Spezia;1768
Pervis Estupiñán;FB;Villarreal;1168
Yoann Etienne;FB;Lorient;90
Xabier Etxeita;CB;Getafe;883
Jonny Evans;CB;Leicester City;2473
Edu Expósito;CM;Eibar;2455
Valentin Eysseric;AM;Fiorentina;729
Eberechi Eze;AM;Crystal Palace;2559
Jokin Ezkieta;GK;Athletic Club;90
Łukasz Fabiański;GK;West Ham;3150
Fabinho;CM;Liverpool;2567
Fábio;FB;Nantes;1507
Cesc Fàbregas;CM;Monaco;877
Bandiougou Fadiga;AM;Paris Saint-Germain;63
Bandiougou Fadiga;AM;Brest;43
Wout Faes;CB;Reims;2899
Nicolò Fagioli;AM;Juventus;21
Ralf Fährmann;GK;Schalke 04;1876
Romain Faivre;W;Brest;2891
Fali;CB;Cádiz;2637
Iago Falque;W;Benevento;358
Andri Fannar Baldursson;CM;Bologna;217
Paolo Faragò;FB;Bologna;23
Paolo Faragò;FB;Cagliari;369
Davide Faraoni;W;Hellas Verona;2891
Mohamed Fares;W;Lazio;1139
Diego Farias;W;Spezia;1514
Wuilker Faríñez;GK;Lens;107
Noah Fatar;W;Angers;21
Ansu Fati;W;Barcelona;431
Julien Faussurier;FB;Brest;955
Andrea Favilli;FW;Hellas Verona;339
Federico Fazio;CB;Roma;406
Nabil Fekir;AM;Betis;2622
Felipe;CB;Atlético Madrid;2057
Luiz Felipe;CB;Lazio;909
Ohis Felix Uduokhai;CB;Augsburg;2610
João Félix;AM;Atlético Madrid;1572
Zinedine Ferhat;W;Nîmes;2957
Bruno Fernandes;AM;Manchester Utd;3099
Edimilson Fernandes;CM;Mainz 05;841
Aitor Fernández;GK;Levante;2610
Álex Fernández;AM;Cádiz;1946
Álvaro Fernández;GK;Huesca;1980
Andrés Fernández;GK;Huesca;1440
Augusto Fernández;CM;Cádiz;369
Carlos Fernández;FW;Sevilla;143
Carlos Fernández;FW;Real Sociedad;390
Federico Fernández;CB;Newcastle Utd;2079
Joaquín Fernández;CB;Valladolid;2073
Fernandinho;CM;Manchester City;1188
Fernando;CM;Sevilla;2546
Alex Ferrari;CB;Sampdoria;880
David Ferreiro;W;Huesca;2527
Salvador Ferrer;FB;Spezia;1190
Facundo Ferreyra;FW;Celta Vigo;300
Jordan Ferri;CM;Montpellier;2577
Marco Festa;GK;Crotone;90
Fidel;W;Elche;2396
Sam Field;CM;West Brom;62
Alfreð Finnbogason;FW;Augsburg;544
Roberto Firmino;FW;Liverpool;2838
Junior Firpo;FB;Barcelona;289
John Fleck;CM;Sheffield Utd;2575
Mark Flekken;GK;Freiburg;270
Florian Flick;CM;Schalke 04;360
Alexis Flips;W;Reims;43
Alessandro Florenzi;FB;Paris Saint-Germain;1538
Kingsley Fobi;FB;Granada;45
Phil Foden;W;Manchester City;1616
Mamadou Fofana;CM;Metz;1070
Seko Fofana;CM;Lens;2309
Wesley Fofana;CB;Leicester City;2262
Wesley Fofana;CB;Saint-Étienne;315
Youssouf Fofana;CM;Monaco;2873
Thomas Foket;FB;Reims;3324
Ramón Folch;CM;Elche;1
Lamine Fomba;CM;Nîmes;2175
Thomas Fontaine;CB;Lorient;320
José Fontán;FB;Celta Vigo;652
José Fonte;CB;Lille;3185
Fernando Forestieri;AM;Udinese;552
Pablo Fornals;AM;West Ham;2572
Emil Forsberg;W;RB Leipzig;1539
Fraser Forster;GK;Southampton;720
Philipp Förster;AM;Stuttgart;1509
Steven Fortes;CB;Lens;1435
Yassin Fortune;FW;Angers;15
Timothy Fosu-Mensah;FB;Manchester Utd;80
Timothy Fosu-Mensah;FB;Leverkusen;409
Daam Foulon;FB;Benevento;1021
Dimitri Foulquier;FB;Granada;2663
Juan Foyth;CB;Villarreal;1168
Gianluca Frabotta;FB;Juventus;689
Raphael Framberger;FB;Augsburg;1540
Tyrese Francois;CM;Fulham;15
Ryan Fraser;W;Newcastle Utd;928
Fred;CM;Manchester Utd;2390
Ryan Fredericks;FB;West Ham;569
Remo Freuler;CM;Atalanta;2712
Marco Friedl;CB;Werder Bremen;2785
Marvin Friedrich;CB;Union Berlin;3060
Jeremie Frimpong;FB;Leverkusen;436
Jorge de Frutos;W;Levante;2186
Christian Fuchs;FB;Leicester City;702
Angelo Fulgini;CM;Angers;2725
Niclas Füllkrug;FW;Werder Bremen;877
Ramiro Funes Mori;CB;Villarreal;727
Darnell Furlong;FB;West Brom;2932
Daniel Fuzato;GK;Roma;450
Baptiste Gabard;CM;Saint-Étienne;133
Matteo Gabbia;CB;Milan;557
Manolo Gabbiadini;FW;Sampdoria;870
Mijat Gaćinović;AM;Hoffenheim;822
Roberto Gagliardini;CM;Inter;1232
Riccardo Gagliolo;FB;Parma;1956
Adolfo Gaich;FW;Benevento;768
Andrey Galabinov;FW;Spezia;430
Javi Galán;FB;Huesca;3065
Conor Gallagher;CM;West Brom;2531
Enric Gallego;FW;Osasuna;806
Kévin Gameiro;FW;Valencia;1077
Idrissa Gana Gueye;CM;Paris Saint-Germain;1581
Ignatius Ganago;FW;Lens;1304
Aleix García;CM;Eibar;437
Borja García;AM;Huesca;1117
Dani García;CM;Athletic Club;1920
David García;CB;Osasuna;3150
Eric García;CB;Manchester City;383
Manu García;CM;Alavés;1124
Raúl García;GK;Valladolid;504
Raúl García;GK;Athletic Club;1743
Rubén García;W;Osasuna;2718
Sergi García;CM;Alavés;16
Unai García;CB;Osasuna;1242
Mario Gaspar;FB;Villarreal;1851
Manuel Gasparini;GK;Udinese;3
Dwight Gayle;FW;Newcastle Utd;514
Paulo Gazzaniga;GK;Elche;720
Jean-Philippe Gbamin;CM;Everton;12
Yann Gboho;W;Rennes;303
David de Gea;GK;Manchester Utd;2295
Christian Gebauer;W;Arminia;687
Theodor Gebre Selassie;FB;Werder Bremen;3032
Emrehan Gedikli;FW;Leverkusen;25
Dennis Geiger;CM;Hoffenheim;658
Christian Gentner;CM;Union Berlin;1033
Yannick Gerhardt;CM;Wolfsburg;1936
Valère Germain;FW;Marseille;857
Gervinho;W;Parma;2021
Willem Geubbels;W;Monaco;294
Hamadi Al Ghaddioui;FW;Stuttgart;46
Anwar El Ghazi;W;Aston Villa;1613
Paolo Ghiglione;W;Genoa;1358
Faouzi Ghoulam;FB;Napoli;289
Kieran Gibbs;FB;West Brom;809
Morgan Gibbs-White;CM;Wolves;414
Niko Gießelmann;FB;Union Berlin;430
Rafał Gikiewicz;GK;Augsburg;3060
David Gil;GK;Cádiz;360
Billy Gilmour;CM;Chelsea;261
Álvaro Giménez;FW;Cádiz;407
Daniel Ginczek;FW;Wolfsburg;215
Matthias Ginter;CB;Mönchengladbach;3060
Andrei Girotto;CB;Nantes;2668
Olivier Giroud;FW;Chelsea;748
Robert Glatzel;FW;Mainz 05;359
Kamil Glik;CB;Benevento;3206
Serge Gnabry;W;Bayern Munich;1644
Ben Godfrey;CB;Everton;2685
Diego Godín;CB;Cagliari;2508
Akaki Gogia;W;Union Berlin;140
Amer Gojak;AM;Torino;475
Edoardo Goldaniga;CB;Genoa;1857
Vladimir Golemić;CB;Crotone;2341
Pierluigi Gollini;GK;Atalanta;2156
Aleksandr Golovin;AM;Monaco;1069
Tomislav Gomelt;CM;Crotone;19
André Gomes;CM;Everton;1570
Dani Gómez;FW;Levante;1666
Ibai Gómez;W;Athletic Club;424
Joe Gomez;CB;Liverpool;590
Maxi Gómez;FW;Valencia;2689
Moi Gómez;W;Villarreal;2563
Papu Gómez;AM;Atalanta;666
Papu Gómez;AM;Sevilla;914
Sergi Gómez;CB;Sevilla;719
Sergio Gómez;AM;Huesca;792
Alfred Gomis;GK;Dijon;450
Alfred Gomis;GK;Rennes;1980
Maxime Gonalons;CM;Granada;1480
Vagner Gonçalves;W;Metz;967
Álvaro González;CB;Marseille;2831
Bruno González;CB;Valladolid;2263
Diego González;CB;Elche;1280
Nicolás González;W;Stuttgart;934
Sergio González;CM;Cádiz;90
Urko González;CB;Real Sociedad;47
Anthony Gordon;W;Everton;88
Leon Goretzka;CM;Bayern Munich;1705
Andoni Gorosabel;FB;Real Sociedad;2382
Robin Gosens;FB;Atalanta;2523
Amine Gouiri;FW;Nice;2747
Jeffrey Gouweleeuw;CB;Augsburg;2835
Jonathan Gradit;CB;Lens;2823
Karlan Grant;FW;West Brom;1127
Alberto Grassi;CM;Parma;1177
Andrew Gravillon;CB;Lorient;2272
Demarai Gray;W;Leicester City;19
Demarai Gray;W;Leverkusen;442
Adrian Grbić;FW;Lorient;961
Jack Grealish;W;Aston Villa;2185
Etienne Green;GK;Saint-Étienne;720
Mason Greenwood;W;Manchester Utd;1822
Michael Gregoritsch;AM;Augsburg;835
Clément Grenier;CM;Rennes;1078
Sebastian Griesbeck;CM;Union Berlin;890
Antoine Griezmann;AM;Barcelona;2604
Vincenzo Grifo;W;Freiburg;2313
Lennart Grill;GK;Leverkusen;360
Florian Grillitsch;CM;Hoffenheim;1879
Christian Groß;CM;Werder Bremen;1468
Pascal Groß;CM;Brighton;2484
Kamil Grosicki;W;West Brom;148
Ilia Gruev;CM;Werder Bremen;1
Carlos Gruezo;CM;Augsburg;2084
Vicente Guaita;GK;Crystal Palace;3330
Andrés Guardado;CM;Betis;1318
Sergi Guardiola;FW;Valladolid;1795
Nemanja Gudelj;CM;Sevilla;1041
Gonçalo Guedes;W;Valencia;2287
Mattéo Guendouzi;CM;Hertha BSC;1818
Raphaël Guerreiro;FB;Dortmund;2218
Evann Guessand;FW;Nice;29
Kelyan Guessoum;CB;Nîmes;1128
Ander Guevara;CM;Real Sociedad;2081
Lamine Gueye;W;Metz;1454
Pape Gueye;CM;Marseille;2058
John Guidetti;FW;Alavés;208
Josuha Guilavogui;CM;Wolfsburg;747
Frederic Guilbert;FB;Strasbourg;1114
Hugo Guillamón;CB;Valencia;1988
Bruno Guimarães;CM;Lyon;1754
Sehrou Guirassy;FW;Rennes;1764
Péter Gulácsi;GK;RB Leipzig;2970
Manuel Gulde;CB;Freiburg;1954
Robert Gumny;FB;Augsburg;1377
İlkay Gündoğan;CM;Manchester City;2029
Christian Günter;FB;Freiburg;3060
Koray Günter;CB;Hellas Verona;1768
Jon Guridi;CM;Real Sociedad;831
Malo Gusto;FB;Lyon;2
Raúl Guti;CM;Elche;2862
Marcos Mauro López Gutiérrez;CB;Cádiz;1825
Miguel Gutiérrez;FB;Real Madrid;316
Emmanuel Gyasi;W;Spezia;2851
Erling Haaland;FW;Dortmund;2407
Janik Haberer;CM;Freiburg;486
Alexander Hack;CB;Mainz 05;1370
Antwoine Hackford;FW;Sheffield Utd;11
Munir El Haddadi;FW;Sevilla;845
André Hahn;W;Augsburg;2037
Amadou Haidara;CM;RB Leipzig;1905
Massadio Haïdara;FB;Lens;2132
Achraf Hakimi;W;Inter;2665
Sébastien Haller;FW;West Ham;937
Marcel Halstenberg;FB;RB Leipzig;1651
Pierre-Yves Hamel;FW;Lorient;849
Romain Hamouma;FW;Saint-Étienne;1769
Samir Handanović;GK;Inter;3240
Lukáš Haraslín;W;Sassuolo;333
Amine Harit;AM;Schalke 04;2101
Rekeem Harper;CM;West Brom;32
Jack Harrison;W;Leeds United;2847
Marcel Hartel;AM;Arminia;1681
Makoto Hasebe;CM;Eintracht Frankfurt;2288
Hans Hateboer;FB;Atalanta;1762
Kortney Hause;CB;Aston Villa;630
Kai Havertz;AM;Chelsea;1520
Isaac Hayden;CM;Newcastle Utd;1942
Eden Hazard;W;Real Madrid;532
Thorgan Hazard;W;Dortmund;654
Jonas Hector;CM;Köln;1290
Michael Hector;CB;Fulham;263
Hwang Hee-chan;FW;RB Leipzig;460
Ahmed Hegazi;CB;West Brom;90
Dominique Heintz;CB;Freiburg;1369
Dean Henderson;GK;Manchester Utd;1125
Jordan Henderson;CM;Liverpool;1704
Jeff Hendrick;CM;Newcastle Utd;1422
Benjamin Henrichs;FB;RB Leipzig;540
Dalbert Henrique;FB;Rennes;373
Eduardo Henrique;CM;Crotone;924
Luis Henrique;W;Marseille;675
